date,unix-date,time,distance,split
13-01-2021,1610496000,,,
14-01-2021,1610582400,27:24,5.30,05.10
15-01-2021,1610668800,,,
16-01-2021,1610755200,25:36,5.01,05.06
17-01-2021,1610841600,,,
18-01-2021,1610928000,,,
19-01-2021,1611014400,23:59,5.01,04.47
20-01-2021,1611100800,1:02:39,12.02,05.12
21-01-2021,1611187200,,,
22-01-2021,1611273600,17:57,3.28,05.28
23-01-2021,1611360000,40:36,8.55,04.44
24-01-2021,1611446400,,,
25-01-2021,1611532800,23:57,5.01,04.46
26-01-2021,1611619200,39:00,8.01,04.52
27-01-2021,1611705600,,,
28-01-2021,1611792000,,,
29-01-2021,1611878400,,,
30-01-2021,1611964800,,,
31-01-2021,1612051200,,,
01-02-2021,1612137600,19:54,3.99,04.59
02-02-2021,1612224000,24:54,5.02,04.57
03-02-2021,1612310400,,,
04-02-2021,1612396800,,,
05-02-2021,1612483200,19:45,4.14,04.46
